keyword,drift_total,distances
schumann,4.863917236512046,"[('1993-1997', '1998-2002', 0.8639172365120457), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
narrative,4.833333333333334,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8333333333333334), ('2018-2022', '2023-2027', 1.0)]"
dance,4.817425814164944,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 0.8174258141649446)]"
hypermeter,4.817425814164944,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2008-2012', 0.8174258141649446), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
time,4.7571037915643,"[('1993-1997', '1998-2002', 0.9116116523516815), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8454921392126186), ('2018-2022', '2023-2027', 1.0)]"
pop,4.741801110252839,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.7418011102528388), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
smith,4.72947919888911,"[('1993-1997', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.8709005551264194), ('2008-2012', '2013-2017', 0.8585786437626906), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
carter,4.711324865405187,"[('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 0.7113248654051871), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0), ('2018-2022', '2023-2027', 1.0)]"
cage,4.711324865405187,"[('1993-1997', '1998-2002', 0.7113248654051871), ('1998-2002', '2003-2007', 1.0), ('2003-2007', '2008-2012', 1.0), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 1.0)]"
melody,4.695746511395135,"[('1993-1997', '1998-2002', 1.0), ('1998-2002', '2008-2012', 0.8881966011250105), ('2008-2012', '2013-2017', 1.0), ('2013-2017', '2018-2022', 0.8075499102701247), ('2018-2022', '2023-2027', 1.0)]"
