start,end,num_communities,mean_size,max_size
1993,1998,6,2.5,5
1998,2003,6,2.5,5
2003,2008,17,2.6470588235294117,5
2008,2013,24,5.416666666666667,19
2013,2018,20,13.8,220
2018,2023,18,22.88888888888889,351
2023,2028,21,22.095238095238095,393
