start,end,num_communities,mean_size,max_size
1993,1998,4,2.75,4
1998,2003,4,2.75,4
2003,2008,11,3.0,5
2008,2013,30,4.5,16
2013,2018,43,7.209302325581396,39
2018,2023,53,9.056603773584905,61
2023,2028,29,18.79310344827586,455
