start,end,num_communities,mean_size,max_size
1993,1998,6,2.5,5
1998,2003,6,2.5,5
2003,2008,17,2.588235294117647,5
2008,2013,26,5.0,18
2013,2018,22,12.545454545454545,203
2018,2023,19,21.68421052631579,329
2023,2028,65,7.138461538461539,28
