start,end,num_communities,mean_size,max_size
1993,1998,3,2.6666666666666665,3
1998,2003,3,2.6666666666666665,3
2003,2008,7,2.2857142857142856,3
2008,2013,23,2.5652173913043477,6
2013,2018,47,3.574468085106383,15
2018,2023,41,7.024390243902439,109
2023,2028,49,6.836734693877551,123
