start,end,num_communities,mean_size,max_size
1993,1998,6,8.666666666666666,19
1998,2003,8,12.0,33
2003,2008,11,11.454545454545455,44
2008,2013,13,16.307692307692307,63
2013,2018,14,25.428571428571427,89
2018,2023,18,27.61111111111111,93
2023,2028,19,27.57894736842105,106
