start,end,num_communities,mean_size,max_size
1993,1998,12,7.166666666666667,15
1998,2003,20,6.8,22
2003,2008,25,7.0,25
2008,2013,18,15.722222222222221,116
2013,2018,18,25.72222222222222,261
2018,2023,20,32.25,178
2023,2028,22,31.227272727272727,234
