,x0,x1,snapshot,author_id
"Willey, Robert",0.22441708,-0.5058055,2017-2020,"Willey, Robert"
"Leydon, Rebecca",-0.83560246,0.5864602,2017-2020,"Leydon, Rebecca"
"BaileyShea, Matthew L.",-0.81937873,-0.7769657,2017-2020,"BaileyShea, Matthew L."
"Tenzer, Michael S.",0.53321856,-0.21181817,2017-2020,"Tenzer, Michael S."
"Samarotto, Frank",0.90866035,1.5247704,2017-2020,"Samarotto, Frank"
"Stoecker, Philip",0.07192816,0.4448244,2017-2020,"Stoecker, Philip"
"Willner, Channan",-0.8396561,-0.21386792,2017-2020,"Willner, Channan"
"Sly, Gordon",2.7944005,0.11127941,2017-2020,"Sly, Gordon"
"Murphy, Scott",-0.8830031,0.18362616,2017-2020,"Murphy, Scott"
"Love, Stefan Caris",-0.000836054,1.5591538,2017-2020,"Love, Stefan Caris"
"Heyer, David J.",-0.05261262,-0.4720832,2017-2020,"Heyer, David J."
"Martens, Daniel Barolsky and Peter",-0.19427626,1.3358575,2017-2020,"Martens, Daniel Barolsky and Peter"
"Tenzer, Michael",-0.6938546,0.2522009,2017-2020,"Tenzer, Michael"
"Hatten, Robert S.",-0.41342893,-1.3808376,2017-2020,"Hatten, Robert S."
"Jong, Karst de",-0.80462873,-0.29297593,2017-2020,"Jong, Karst de"
"Noll, Thomas",-0.7319406,-0.38702834,2017-2020,"Noll, Thomas"
"Moseley, Roger",0.1269544,-0.88238305,2017-2020,"Moseley, Roger"
"Doll, Christopher",-1.0351732,0.3257105,2017-2020,"Doll, Christopher"
"Klumpenhouwer, Henry",-0.39567304,0.33057728,2017-2020,"Klumpenhouwer, Henry"
"Carter-Ényì, Aaron",-0.35669827,1.4339399,2017-2020,"Carter-Ényì, Aaron"
"Hanenberg, Scott J.",-0.9090948,0.0067784465,2017-2020,"Hanenberg, Scott J."
"Goldenberg, Yosef",1.1448095,1.590975,2017-2020,"Goldenberg, Yosef"
"Smither, Sean R.",-0.91607577,-0.18708424,2017-2020,"Smither, Sean R."
"Heinonen, Yrjo",-0.8575521,0.34828824,2017-2020,"Heinonen, Yrjo"
"Damschroder, David",0.45496616,-1.4245807,2017-2020,"Damschroder, David"
"Martin, Henry",-0.34882393,-0.46517485,2017-2020,"Martin, Henry"
"Anku, Willie",-0.22234334,-0.03344022,2017-2020,"Anku, Willie"
"Zayaruznaya, Anna",0.05440113,0.8598615,2017-2020,"Zayaruznaya, Anna"
"Maler, Anabel",-1.0032171,0.5804456,2017-2020,"Maler, Anabel"
"Komaniecki, Robert",-0.6795636,0.8204127,2017-2020,"Komaniecki, Robert"
"Kallis, Vasilis",3.372817,0.016820231,2017-2020,"Kallis, Vasilis"
"Horlacher, Gretchen G.",-0.90019315,0.04345839,2017-2020,"Horlacher, Gretchen G."
"Leong, Daphne",0.0046565495,-1.5432502,2017-2020,"Leong, Daphne"
"Dodson, Alan",-0.29444468,-0.116160356,2017-2020,"Dodson, Alan"
"Montague, Eugene",-0.62516016,-0.5639817,2017-2020,"Montague, Eugene"
"Cutler, Timothy",-0.93500525,0.25933895,2017-2020,"Cutler, Timothy"
"Vélez, Daniel Villegas",-1.0477284,-0.44581413,2017-2020,"Vélez, Daniel Villegas"
"Gur, Golan",-0.49108657,-0.45068893,2017-2020,"Gur, Golan"
"Moore, Allan F.",-0.9033106,0.13084318,2017-2020,"Moore, Allan F."
"Buchler, Michael H.",-0.1395317,0.40767044,2017-2020,"Buchler, Michael H."
"Gauldin, Robert",0.24823743,-0.198125,2017-2020,"Gauldin, Robert"
"Demske, Thomas R.",0.47059765,-0.32657453,2017-2020,"Demske, Thomas R."
"Kochavi, Jonathan",-0.31686097,0.29529133,2017-2020,"Kochavi, Jonathan"
"Quaglia, Bruce W.",-0.45198786,0.052181352,2017-2020,"Quaglia, Bruce W."
"Byros, Vasili",-0.19181006,1.2898453,2017-2020,"Byros, Vasili"
"Townsend, Anna M. Gawboy and Justin",3.3809865,0.0376267,2017-2020,"Townsend, Anna M. Gawboy and Justin"
"McCreless, Patrick P.",-1.0456784,-0.3955335,2017-2020,"McCreless, Patrick P."
"Hood, Alison",2.364873,0.0844156,2017-2020,"Hood, Alison"
"London, Justin M.",-1.0472009,-0.3126631,2017-2020,"London, Justin M."
"Martinez, Jose Luis",0.4835176,-0.12017801,2017-2020,"Martinez, Jose Luis"
"Burnham, Scott",-1.1273875,-0.62574095,2017-2020,"Burnham, Scott"
"Peck, Robert W.",-0.8493156,0.28744158,2017-2020,"Peck, Robert W."
"Clement, Brett",-0.8874442,0.14247066,2017-2020,"Clement, Brett"
"Palmer, James K.",2.9728816,0.08743249,2017-2020,"Palmer, James K."
"Douw, Andre M.",3.08118,-0.18845548,2017-2020,"Douw, Andre M."
"Schuijer, Michiel C.",3.119896,-0.17016374,2017-2020,"Schuijer, Michiel C."
"Littlefield, Richard C.",-0.9770477,-0.1833186,2017-2020,"Littlefield, Richard C."
"Kaminsky, Peter M.",-1.0263257,-0.32813558,2017-2020,"Kaminsky, Peter M."
"Butterfield, Matthew W.",-0.8379707,-0.0678974,2017-2020,"Butterfield, Matthew W."
"Headlam, Dave",-0.66181225,0.43327555,2017-2020,"Headlam, Dave"
"Lehman, Frank",-1.0409851,0.18850866,2017-2020,"Lehman, Frank"
"Ren, Iris",-0.73862,0.38940358,2017-2020,"Ren, Iris"
"Duan, Zhiyao",-0.7394744,0.34205955,2017-2020,"Duan, Zhiyao"
"Sallmen, Mark",-0.29849038,1.1073594,2017-2020,"Sallmen, Mark"
"Leech-Wilkinson, Daniel",0.15669012,-1.6335487,2017-2020,"Leech-Wilkinson, Daniel"
"Endrinal, Christopher",-1.0209507,0.09091468,2017-2020,"Endrinal, Christopher"
"Aarden, Bret",2.092259,0.09244167,2017-2020,"Aarden, Bret"
"Hippel, Paul T. von",2.1135724,0.121005625,2017-2020,"Hippel, Paul T. von"
"Berry, Michael",-0.67482966,1.0832343,2017-2020,"Berry, Michael"
"Code, David Løberg",0.21215236,-0.20493771,2017-2020,"Code, David Løberg"
"Cramer, Alfred",-0.38109314,0.6778722,2017-2020,"Cramer, Alfred"
"Hermann, Richard",0.42249936,-0.3946838,2017-2020,"Hermann, Richard"
"Heetderks, David J.",-1.0167034,0.33180815,2017-2020,"Heetderks, David J."
"Barolsky, Daniel G",-0.6127481,0.628371,2017-2020,"Barolsky, Daniel G"
"Marion, Gregory J.",2.6716483,0.18652238,2017-2020,"Marion, Gregory J."
"Love, Stefan C.",-0.30864212,-0.28718418,2017-2020,"Love, Stefan C."
"Rink, John",-0.5389102,0.65215576,2017-2020,"Rink, John"
"Auerbach, Brent",-0.6115624,-0.7772773,2017-2020,"Auerbach, Brent"
"Grant, Roger Mathew",0.12900557,0.50210714,2017-2020,"Grant, Roger Mathew"
"Urista, Diane J.",-0.72587675,-0.7425491,2017-2020,"Urista, Diane J."
"Arlin, Mary I.",-0.34459582,0.044515796,2017-2020,"Arlin, Mary I."
"Goldman, Andrew J.",0.4494807,-0.9374066,2017-2020,"Goldman, Andrew J."
"Sheehy, August",-0.19642751,-0.8355236,2017-2020,"Sheehy, August"
"Steinbeck, Paul",-0.16637349,-0.95561236,2017-2020,"Steinbeck, Paul"
"Samplaski, Art",0.3585692,-0.2992993,2017-2020,"Samplaski, Art"
"Lewis, George E.",0.137972,-0.9250262,2017-2020,"Lewis, George E."
"Everett, Walter T.",-0.92379314,0.3327741,2017-2020,"Everett, Walter T."
"Martens, Peter A.",-0.27570158,1.3431484,2017-2020,"Martens, Peter A."
"Easley, David B.",-1.0186136,-0.23355366,2017-2020,"Easley, David B."
"Rehding, Alexander",-0.5285176,-0.4750475,2017-2020,"Rehding, Alexander"
"Sayrs, Elizabeth P.",-1.0591881,0.12977615,2017-2020,"Sayrs, Elizabeth P."
"Zbikowski, Lawrence M.",-0.5535097,-0.46870098,2017-2020,"Zbikowski, Lawrence M."
"Lee, Mike Cheng-Yu",0.5595132,-1.5770952,2017-2020,"Lee, Mike Cheng-Yu"
"Chung, Andrew J.",-0.8229482,0.4179386,2017-2020,"Chung, Andrew J."
"Spicer, Mark",-0.94738805,0.24316366,2017-2020,"Spicer, Mark"
"Chenette, Timothy K.",3.4191003,0.13214904,2017-2020,"Chenette, Timothy K."
"Donin, Nicolas",-0.9156081,-0.16176622,2017-2020,"Donin, Nicolas"
"Goldman, Jonathan",-0.91251296,-0.17878208,2017-2020,"Goldman, Jonathan"
"Segall, Christopher",-0.17848869,1.5890466,2017-2020,"Segall, Christopher"
"Givan, Benjamin",-0.12243475,-1.7087561,2017-2020,"Givan, Benjamin"
"Nolan, Catherine",0.17786647,0.48154894,2017-2020,"Nolan, Catherine"
"Cohn, Richard",-0.7527717,0.035122693,2017-2020,"Cohn, Richard"
"Isaacson, Eric J.",0.17978577,-0.19640431,2017-2020,"Isaacson, Eric J."
"Krims, Adam P.",-1.0674167,-0.4339664,2017-2020,"Krims, Adam P."
"McNutt, Elizabeth",0.055383142,-1.5736493,2017-2020,"McNutt, Elizabeth"
"Clement, Brett G.",-0.67617726,0.38502482,2017-2020,"Clement, Brett G."
"Pearson, David M",-1.0109909,-0.04129323,2017-2020,"Pearson, David M"
"Bent, Margaret",3.340046,0.1568807,2017-2020,"Bent, Margaret"
"Bungert, James",-0.82951677,0.93707865,2017-2020,"Bungert, James"
"Lind, Stephanie",-0.6520028,0.4622335,2017-2020,"Lind, Stephanie"
"Beavers, Jennifer P.",0.13307568,0.72347724,2017-2020,"Beavers, Jennifer P."
"Sterbenz, Maeve",-0.65571755,-0.595123,2017-2020,"Sterbenz, Maeve"
"Reed, Jacob Rosenthal",-0.91726935,0.08063682,2017-2020,"Reed, Jacob Rosenthal"
"Bain, Matthew Neil",-0.9766432,0.0977818,2017-2020,"Bain, Matthew Neil"
"Ewell, Philip",-0.12949978,1.7378286,2017-2020,"Ewell, Philip"
"Wells, Robert L.",-0.684879,0.18496297,2017-2020,"Wells, Robert L."
"Parsons, Laurel",-0.62157845,0.08524297,2017-2020,"Parsons, Laurel"
"Heidemann, Kate",-0.92664856,-0.42605436,2017-2020,"Heidemann, Kate"
"Sturman, Michael Vercelli and Janet",0.3920103,-0.12230031,2017-2020,"Sturman, Michael Vercelli and Janet"
"Reenan, Samuel",3.6807556,-0.28087786,2017-2020,"Reenan, Samuel"
"Bass, Richard",3.5259073,-0.17785078,2017-2020,"Bass, Richard"
"Chua, Daniel K.L.",2.3437462,0.16286291,2017-2020,"Chua, Daniel K.L."
"2015), (after July 1",2.3096411,0.183442,2017-2020,"2015), (after July 1"
"Callender, Clifton",0.08766458,-0.7207642,2017-2020,"Callender, Clifton"
"Plotkin, Richard",2.5312464,0.208734,2017-2020,"Plotkin, Richard"
"Neumeyer, David",-0.99469817,0.062823355,2017-2020,"Neumeyer, David"
"Johnson, Thomas",-0.6182514,-0.5155065,2017-2020,"Johnson, Thomas"
"Straus, Joseph N.",-0.26061106,0.41121277,2017-2020,"Straus, Joseph N."
"Gauvin, Hubert Léveillé",-0.7544211,0.2603788,2017-2020,"Gauvin, Hubert Léveillé"
"Mattessich, John J.",-0.5751855,1.3323909,2017-2020,"Mattessich, John J."
"Tymoczko, Dmitri",0.19222908,0.42491594,2017-2020,"Tymoczko, Dmitri"
"Burns, Chelsea",-0.9774137,-0.36917984,2017-2020,"Burns, Chelsea"
"Martens, Peter",2.7511618,0.10459894,2017-2020,"Martens, Peter"
"Thomas, Margaret E.",-0.8277842,-0.5739927,2017-2020,"Thomas, Margaret E."
"Summach, Jay",-1.0170858,0.029207634,2017-2020,"Summach, Jay"
"Everett, Walter",-0.9535742,0.09005525,2017-2020,"Everett, Walter"
"Goehr, Lydia",-0.61995494,-0.085771315,2017-2020,"Goehr, Lydia"
"Caplin, William E.",0.43729973,-1.5518903,2017-2020,"Caplin, William E."
"Baroin, Gilles",2.5098486,0.20184462,2017-2020,"Baroin, Gilles"
"Emmery, Laura",0.40097627,-1.8041285,2017-2020,"Emmery, Laura"
"Bertolani, Valentina",-0.32112563,-0.7287508,2017-2020,"Bertolani, Valentina"
"Locke, David",-0.5105205,0.009044975,2017-2020,"Locke, David"
"Blake, David K.",-0.9915931,0.11372333,2017-2020,"Blake, David K."
"Cook, Scott Alexander",-0.28601497,1.0576279,2017-2020,"Cook, Scott Alexander"
"Gadir, Tami",-0.55440366,-1.1221464,2017-2020,"Gadir, Tami"
"Graybill, Roger C.",0.07270563,-1.0395925,2017-2020,"Graybill, Roger C."
"Zavlunov, Daniil",-0.13950445,1.6247214,2017-2020,"Zavlunov, Daniil"
"Huron, David",2.801552,0.17883085,2017-2020,"Huron, David"
"Clarke, David",3.3408477,-0.24194178,2017-2020,"Clarke, David"
"Albrecht, Joshua",-0.35850593,-1.2290732,2017-2020,"Albrecht, Joshua"
"Monahan, Seth",0.4344937,-1.4656949,2017-2020,"Monahan, Seth"
"Foley, Gretchen C.",0.2398568,0.49769893,2017-2020,"Foley, Gretchen C."
"Trevor, Caitlyn",2.8035336,0.11290536,2017-2020,"Trevor, Caitlyn"
"Burns, James",-0.30205667,-0.038540073,2017-2020,"Burns, James"
"Polak, Rainer",-0.78419906,-0.16599393,2017-2020,"Polak, Rainer"
"Carpenter, Ellon D.",-0.13671997,1.5680647,2017-2020,"Carpenter, Ellon D."
"Lucas, Olivia R.",-0.64074814,-0.06553372,2017-2020,"Lucas, Olivia R."
"Stankis, Jessica E.",-0.39370102,-0.8383691,2017-2020,"Stankis, Jessica E."
"Conklin, Andrew",-1.0082326,0.37650362,2017-2020,"Conklin, Andrew"
"Peebles, Crystal A.",-0.4348447,1.2421108,2017-2020,"Peebles, Crystal A."
"Korevaar, David",0.029486172,-1.6335315,2017-2020,"Korevaar, David"
"Woods, Alyssa",-0.9323466,0.17112161,2017-2020,"Woods, Alyssa"
"Iverson, Jennifer",0.1937284,0.8256679,2017-2020,"Iverson, Jennifer"
"Lessoil-Daelman, Marcelle",-0.014889845,0.7760252,2017-2020,"Lessoil-Daelman, Marcelle"
"Schutz, Michael",-0.68193424,1.2278928,2017-2020,"Schutz, Michael"
"Slominski, Johnandrew",-0.21519688,0.7006192,2017-2020,"Slominski, Johnandrew"
"Eckert, Stefan",-0.06284838,0.7244632,2017-2020,"Eckert, Stefan"
"Krims, Adam Paul",-0.31114867,0.28346398,2017-2020,"Krims, Adam Paul"
"Ravenscroft, Brenda",-0.29888827,-1.2976246,2017-2020,"Ravenscroft, Brenda"
"Duker, Philip",-0.487788,-0.04008369,2017-2020,"Duker, Philip"
"Gawboy, Anna",-0.41705155,-0.00935409,2017-2020,"Gawboy, Anna"
"Hughes, Bryn",-0.4601671,0.0059858337,2017-2020,"Hughes, Bryn"
"Schachter, Michael",3.3432717,-0.20883726,2017-2020,"Schachter, Michael"
"Robb, Hamish J.",-0.602334,-1.0891277,2017-2020,"Robb, Hamish J."
"Collins, Denis B.",-0.17163384,1.5229415,2017-2020,"Collins, Denis B."
"Davis, Stacey",0.38231677,0.8610009,2017-2020,"Davis, Stacey"
"Gotham, Mark R. H.",-0.5858688,-0.21793516,2017-2020,"Gotham, Mark R. H."
"Gunn, Iain A. D.",-0.54466957,-0.17670731,2017-2020,"Gunn, Iain A. D."
"Canonne, Clément",0.043080665,-1.7353377,2017-2020,"Canonne, Clément"
"Binder, Benjamin",-0.55192554,0.6892364,2017-2020,"Binder, Benjamin"
"Hoag, Melissa E.",1.061217,1.6466397,2017-2020,"Hoag, Melissa E."
"Rothgeb, John",2.6395302,0.1553024,2017-2020,"Rothgeb, John"
"Diergarten, Felix F.",2.9509022,0.13481419,2017-2020,"Diergarten, Felix F."
"Luong, Vivian",-0.15557547,-0.5594403,2017-2020,"Luong, Vivian"
"Neumeyer, David P.",-1.0415432,-0.22094227,2017-2020,"Neumeyer, David P."
"Losada, C. Catherine",0.22320145,0.3978388,2017-2020,"Losada, C. Catherine"
"Cairns, Zachary A.",-0.20564702,1.6568886,2017-2020,"Cairns, Zachary A."
"Nettl, Bruno",0.2240369,-0.9659665,2017-2020,"Nettl, Bruno"
"Manabe, Noriko",-0.61550784,1.1240889,2017-2020,"Manabe, Noriko"
"Butler, Mark J.",-0.9819016,-0.46403274,2017-2020,"Butler, Mark J."
"Lau, Wing",-0.7412025,0.06485885,2017-2020,"Lau, Wing"
"Larson, Steve",0.034959763,-0.6246917,2017-2020,"Larson, Steve"
"McClimon, Michael",-0.55166966,-0.27005613,2017-2020,"McClimon, Michael"
"Fabian, Dorottya",0.084991336,-1.5981576,2017-2020,"Fabian, Dorottya"
"Horn, Katelyn",2.776689,0.15811455,2017-2020,"Horn, Katelyn"
"Lindley, Mark",3.3525565,-0.20470682,2017-2020,"Lindley, Mark"
"Turner-Smith, Ronald",3.3347888,-0.20018424,2017-2020,"Turner-Smith, Ronald"
