,x0,x1,snapshot,author_id
"Klorman, Edward",-0.04424713,-1.6124094,2017-2020,"Klorman, Edward"
"Guerrero, Jeannie Ma.",0.7232086,-1.7626413,2017-2020,"Guerrero, Jeannie Ma."
"Murphy, Nancy",-0.9967504,-0.34387076,2017-2020,"Murphy, Nancy"
"Ohriner, Mitchell S.",-0.50264055,1.283217,2017-2020,"Ohriner, Mitchell S."
"Schultz, Rob",-0.84720683,0.44823867,2017-2020,"Schultz, Rob"
"Burns, Lori",-0.9550103,0.13036968,2017-2020,"Burns, Lori"
"McCreless, Patrick",-1.0175506,-0.46876225,2017-2020,"McCreless, Patrick"
"Gotham, Mark",-0.7564414,0.06434572,2017-2020,"Gotham, Mark"
"Cubero, Diego",1.0332056,1.4994234,2017-2020,"Cubero, Diego"
"McCandless, Gregory R.",-0.90161157,0.06412029,2017-2020,"McCandless, Gregory R."
"Salley, Keith",-0.80128443,-0.39651754,2017-2020,"Salley, Keith"
"Kaminsky, Peter",-0.5568695,0.71085715,2017-2020,"Kaminsky, Peter"
"Smith, Jordan B. L.",2.516849,0.10681878,2017-2020,"Smith, Jordan B. L."
"Schankler, Isaac",2.4810507,0.09578884,2017-2020,"Schankler, Isaac"
"Chew, Elaine",2.4862437,0.093073696,2017-2020,"Chew, Elaine"
"Hough, Matthew T.",-0.96648276,0.34786025,2017-2020,"Hough, Matthew T."
"Rockwell, Joti",-0.7704048,0.7694534,2017-2020,"Rockwell, Joti"
"Rings, Steven",-1.0605986,-0.4814054,2017-2020,"Rings, Steven"
"Lester, Joel",0.07243182,-1.6397536,2017-2020,"Lester, Joel"
"Shaffer, Kris P.",-0.3963313,0.067272194,2017-2020,"Shaffer, Kris P."
"Nobile, Drew F.",-0.925206,0.35781983,2017-2020,"Nobile, Drew F."
"Jakubowski, Joseph R",-0.66056377,0.36776835,2017-2020,"Jakubowski, Joseph R"
"Biamonte, Nicole",-0.88157,-0.25691983,2017-2020,"Biamonte, Nicole"
"Barolsky, Daniel",-0.09259855,-1.4587965,2017-2020,"Barolsky, Daniel"
"Schmalfeldt, Janet",-0.29818013,-1.2726781,2017-2020,"Schmalfeldt, Janet"
"Guido, Massimiliano",-0.07736943,0.74252135,2017-2020,"Guido, Massimiliano"
"Schubert, Peter",-0.015163151,0.7297061,2017-2020,"Schubert, Peter"
"Nemire, Julie A.",-0.0001256256,-0.6782587,2017-2020,"Nemire, Julie A."
"Hannaford, Marc",-0.5843438,-0.61600333,2017-2020,"Hannaford, Marc"
"Mastic, Timothy R.",2.9377165,0.14055093,2017-2020,"Mastic, Timothy R."
"Koslovsky, John",2.7420607,0.089349076,2017-2020,"Koslovsky, John"
"Rothstein, William",-0.43506527,1.1705654,2017-2020,"Rothstein, William"
"Garcia, Luis-Manuel",-0.39166322,-1.2650114,2017-2020,"Garcia, Luis-Manuel"
"O’Donnell, Shaugn",0.21678172,0.52262616,2017-2020,"O’Donnell, Shaugn"
"Roeder, John",-0.7755317,0.31853643,2017-2020,"Roeder, John"
"Traut, Donald G.",-0.47391778,0.26845732,2017-2020,"Traut, Donald G."
"Ewell, Philip A.",-0.41379035,1.4360349,2017-2020,"Ewell, Philip A."
"Karpinski, Gary S.",2.5614238,0.12839046,2017-2020,"Karpinski, Gary S."
"Rusch, René",-0.8432854,-0.21939921,2017-2020,"Rusch, René"
"Stover, Chris",-0.61609215,-0.6190132,2017-2020,"Stover, Chris"
"Agawu, Kofi",-1.0433446,-0.46384266,2017-2020,"Agawu, Kofi"
"Burns, Lori A.",-0.8133584,0.25241745,2017-2020,"Burns, Lori A."
"Lafrance, Marc",-0.86251354,0.33717248,2017-2020,"Lafrance, Marc"
"M.A., Laura Hawley",-0.82844555,0.21557426,2017-2020,"M.A., Laura Hawley"
"Kopp, David",-0.15937597,-1.5895082,2017-2020,"Kopp, David"
"Stoia, Nicholas",-0.70273745,0.40080684,2017-2020,"Stoia, Nicholas"
"Cook, Nicholas",-0.26431042,-1.5272089,2017-2020,"Cook, Nicholas"
"Osborn, Brad",-0.80154115,0.0304261,2017-2020,"Osborn, Brad"
"Temperley, David",-0.78757316,0.3873846,2017-2020,"Temperley, David"
"Bugallo, Helena",0.17044109,-0.5503018,2017-2020,"Bugallo, Helena"
"Adams, Kyle",-0.8414728,0.93599635,2017-2020,"Adams, Kyle"
"Hesselink, Nathan D.",-0.73406297,0.27149445,2017-2020,"Hesselink, Nathan D."
"Koozin, Timothy",-1.0377653,-0.2564878,2017-2020,"Koozin, Timothy"
"Childs, Adrian P.",0.20622683,1.1499922,2017-2020,"Childs, Adrian P."
"Neidhöfer, Christoph",0.61866486,-1.800008,2017-2020,"Neidhöfer, Christoph"
"Hoeckner, Berthold",-0.46772954,0.051972635,2017-2020,"Hoeckner, Berthold"
"Waters, Keith",-0.23634008,-0.28631964,2017-2020,"Waters, Keith"
"Rodgers, Stephen",-0.1891996,-0.3571789,2017-2020,"Rodgers, Stephen"
"Scotto, Ciro G.",-0.5482741,0.32308027,2017-2020,"Scotto, Ciro G."
"Covach, John R.",-0.96224,-0.48495638,2017-2020,"Covach, John R."
"Scherzinger, Martin",-0.5529873,-0.15805261,2017-2020,"Scherzinger, Martin"
"Richards, Mark",-1.0297244,-0.0033365665,2017-2020,"Richards, Mark"
"Link, John",0.46332264,1.1799934,2017-2020,"Link, John"
"Duinker, Ben",-0.8666483,0.13146606,2017-2020,"Duinker, Ben"
"Williams, Justin A.",-0.72527367,0.76607746,2017-2020,"Williams, Justin A."
"Boone, Christine",-0.8554448,0.5194669,2017-2020,"Boone, Christine"
"Bazayev, Inessa",-0.11503228,1.638395,2017-2020,"Bazayev, Inessa"
"Benadon, Fernando",-0.12366443,-0.12311634,2017-2020,"Benadon, Fernando"
"Cumming, Julie E.",0.44846544,-0.94287735,2017-2020,"Cumming, Julie E."
"Shaftel, Matthew",-0.74002,0.11353645,2017-2020,"Shaftel, Matthew"
"Michaelsen, Garrett",-0.30414787,-1.208453,2017-2020,"Michaelsen, Garrett"
"Gjerdingen, Robert",-0.28734326,0.6995891,2017-2020,"Gjerdingen, Robert"
"Bourne, Janet",-0.5791948,0.5892933,2017-2020,"Bourne, Janet"
"Clercq, Trevor de",-0.9617767,0.041377194,2017-2020,"Clercq, Trevor de"
"Attas, Robin",-1.0436913,-0.032537088,2017-2020,"Attas, Robin"
"Bakulina, Ellen",-0.17132589,1.52681,2017-2020,"Bakulina, Ellen"
"BaileyShea, Matt",-0.6225065,-0.715775,2017-2020,"BaileyShea, Matt"
"Nooshin, Laudan",0.12889282,-1.0575491,2017-2020,"Nooshin, Laudan"
"Hook, Julian",-0.5226008,-0.26261902,2017-2020,"Hook, Julian"
"Covach, John",-0.61611706,-0.123111926,2017-2020,"Covach, John"
"Gann, Kyle",0.036120575,-0.48763737,2017-2020,"Gann, Kyle"
"Cox, Arnie",-0.6551182,-0.6955845,2017-2020,"Cox, Arnie"
"Johnson, Timothy A.",-1.0537101,-0.2709137,2017-2020,"Johnson, Timothy A."
"Rahn, Jay",0.50259405,-0.36710727,2017-2020,"Rahn, Jay"
"Killam, Rosemary N.",-0.97850645,-0.34099537,2017-2020,"Killam, Rosemary N."
"Murcott, Dominic",-0.038870778,-0.58750707,2017-2020,"Murcott, Dominic"
"Wild, Jonathan",-0.45702377,-0.31136218,2017-2020,"Wild, Jonathan"
"Hepokoski, James",0.3014417,-1.514652,2017-2020,"Hepokoski, James"
"Malawey, Victoria",-1.1144302,0.4935614,2017-2020,"Malawey, Victoria"
"McFarland, Mark",-0.24622126,-0.33672753,2017-2020,"McFarland, Mark"
"Amiot, Emmanuel",2.6603603,0.16535746,2017-2020,"Amiot, Emmanuel"
"Wadsworth, Benjamin K.",2.7281775,0.08339742,2017-2020,"Wadsworth, Benjamin K."
"Jenkins, J. Daniel",0.46473876,1.277296,2017-2020,"Jenkins, J. Daniel"
"Lochhead, Judith",-0.98127025,-0.46845657,2017-2020,"Lochhead, Judith"
"Yust, Jason",2.6556478,0.17015025,2017-2020,"Yust, Jason"
"London, Justin",-0.55581987,0.04459432,2017-2020,"London, Justin"
"Rabinovitch, Gilad",-0.36629775,0.73963475,2017-2020,"Rabinovitch, Gilad"
"Fankhauser, Gabe",2.0929115,0.1772691,2017-2020,"Fankhauser, Gabe"
"Snodgrass, Jennifer Sterling",2.1118708,0.19759794,2017-2020,"Snodgrass, Jennifer Sterling"
"Johnston, Blair",-0.5029453,1.2591603,2017-2020,"Johnston, Blair"
"Callahan, Michael R.",-0.72436225,0.07240004,2017-2020,"Callahan, Michael R."
"Guez, Jonathan",0.17515755,1.4526747,2017-2020,"Guez, Jonathan"
"Buchler, Michael",0.16512188,0.49027294,2017-2020,"Buchler, Michael"
"Shanahan, Daniel",-0.5318797,0.8327362,2017-2020,"Shanahan, Daniel"
"Kozak, Mariusz",-0.8111847,-0.5109067,2017-2020,"Kozak, Mariusz"
"Martin, Nathan John",-0.51565486,-0.2698606,2017-2020,"Martin, Nathan John"
"Stroud, Cara",-0.9017601,0.1342301,2017-2020,"Stroud, Cara"
"Fillerup, Jessie",-0.30567494,-0.86458224,2017-2020,"Fillerup, Jessie"
"Brinkman, Alexander R.",2.3212392,0.21676959,2017-2020,"Brinkman, Alexander R."
"Marvin, Elizabeth W.",2.2763221,0.18026753,2017-2020,"Marvin, Elizabeth W."
"Forrest, David L.",-1.0194447,0.0415977,2017-2020,"Forrest, David L."
"Guck, Marion",0.12823772,-0.68019664,2017-2020,"Guck, Marion"
"Robison, Brian",-0.06523427,-0.3663681,2017-2020,"Robison, Brian"
"Cohen, Gilad",-0.67834735,0.3136577,2017-2020,"Cohen, Gilad"
